Operateur;x;y;2G;3G;4G
20810;-3.831;48.578;1;1;0
20820;-3.831;48.578;1;1;0
20801;-3.83;48.569;1;1;0
20815;-3.826;48.579;0;1;1
20801;-3.826;48.579;1;1;0
20810;-3.824;48.569;1;1;0
20815;-3.821;48.561;0;1;1
20820;-3.825;48.592;1;0;0
20820;-3.807;48.467;1;1;1
20810;-3.806;48.468;1;1;1
20810;-3.815;48.59;1;1;1
20820;-3.815;48.59;1;1;1
20801;-3.815;48.59;1;1;1
20801;-3.811;48.563;1;1;1
20820;-3.719;47.847;1;1;0
20820;-3.715;47.887;1;1;1
20810;-3.715;47.887;1;1;1
20801;-3.751;48.221;1;1;0
20810;-3.788;48.515;1;1;0
20820;-3.79;48.584;1;1;1
20801;-3.698;47.87;1;1;0
20810;-3.79;48.584;1;1;0
20801;-3.783;48.534;1;1;0
20820;-3.782;48.533;1;1;1
20810;-3.782;48.533;0;0;1
20820;-3.802;48.695;1;1;0
20810;-3.802;48.695;1;1;1
20820;-3.802;48.696;1;1;1
20801;-3.802;48.696;1;1;1
20801;-3.692;47.845;1;1;1
20801;-3.781;48.585;1;1;0
20820;-3.749;48.348;1;1;1
20810;-3.749;48.348;1;1;1
20815;-3.749;48.348;0;1;0
